home,away,home_mov,home_location,away_location
Boston Celtics,Philadelphia 76ers,18,"[-71.0588801 42.3600825, 0]","[-75.1652215 39.9525839, 0]"
Golden State Warriors,Oklahoma City Thunder,8,"[-122.4194155 37.7749295, 0]","[-97.5164276 35.4675602, 0]"
Charlotte Hornets,Milwaukee Bucks,-1,"[-80.8431267 35.2270869, 0]","[-87.9064736 43.0389025, 0]"
Detroit Pistons,Brooklyn Nets,3,"[-83.0457538 42.331427, 0]","[-73.9441579 40.6781784, 0]"
Houston Rockets,New Orleans Pelicans,-19,"[-95.3698028 29.7604267, 0]","[-90.0715323 29.9510658, 0]"
Indiana Pacers,Memphis Grizzlies,28,"[-86.1349019 40.2671941, 0]","[-90.0489801 35.1495343, 0]"
Los Angeles Clippers,Denver Nuggets,-9,"[-118.2436849 34.0522342, 0]","[-104.990251 39.7392358, 0]"
New York Knicks,Atlanta Hawks,19,"[-74.0059728 40.7127753, 0]","[-84.3879824 33.7489954, 0]"
Orlando Magic,Miami Heat,3,"[-81.3792365 28.5383355, 0]","[-80.1917902 25.7616798, 0]"
Phoenix Suns,Dallas Mavericks,21,"[-112.0740373 33.4483771, 0]","[-96.7969879 32.7766642, 0]"
Sacramento Kings,Utah Jazz,-6,"[-121.4943996 38.5815719, 0]","[-111.0937311 39.3209801, 0]"
San Antonio Spurs,Minnesota Timberwolves,4,"[-98.4936282 29.4241219, 0]","[-94.6858998 46.729553, 0]"
Toronto Raptors,Cleveland Cavaliers,12,"[-79.3831843 43.653226, 0]","[-81.6943605 41.49932, 0]"
Philadelphia 76ers,Chicago Bulls,19,"[-75.1652215 39.9525839, 0]","[-87.6297982 41.8781136, 0]"
Portland Trail Blazers,Los Angeles Lakers,9,"[-122.6750261 45.5051064, 0]","[-118.2436849 34.0522342, 0]"
Washington Wizards,Miami Heat,-1,"[-77.0368707 38.9071923, 0]","[-80.1917902 25.7616798, 0]"
Brooklyn Nets,New York Knicks,2,"[-73.9441579 40.6781784, 0]","[-74.0059728 40.7127753, 0]"
Los Angeles Clippers,Oklahoma City Thunder,16,"[-118.2436849 34.0522342, 0]","[-97.5164276 35.4675602, 0]"
Memphis Grizzlies,Atlanta Hawks,14,"[-90.0489801 35.1495343, 0]","[-84.3879824 33.7489954, 0]"
Milwaukee Bucks,Indiana Pacers,17,"[-87.9064736 43.0389025, 0]","[-86.1349019 40.2671941, 0]"
Minnesota Timberwolves,Cleveland Cavaliers,8,"[-94.6858998 46.729553, 0]","[-81.6943605 41.49932, 0]"
New Orleans Pelicans,Sacramento Kings,20,"[-90.0715323 29.9510658, 0]","[-121.4943996 38.5815719, 0]"
Orlando Magic,Charlotte Hornets,-32,"[-81.3792365 28.5383355, 0]","[-80.8431267 35.2270869, 0]"
Toronto Raptors,Boston Celtics,12,"[-79.3831843 43.653226, 0]","[-71.0588801 42.3600825, 0]"
Utah Jazz,Golden State Warriors,-1,"[-111.0937311 39.3209801, 0]","[-122.4194155 37.7749295, 0]"
Chicago Bulls,Detroit Pistons,-2,"[-87.6297982 41.8781136, 0]","[-83.0457538 42.331427, 0]"
Dallas Mavericks,Minnesota Timberwolves,4,"[-96.7969879 32.7766642, 0]","[-94.6858998 46.729553, 0]"
Denver Nuggets,Phoenix Suns,28,"[-104.990251 39.7392358, 0]","[-112.0740373 33.4483771, 0]"
Indiana Pacers,Brooklyn Nets,20,"[-86.1349019 40.2671941, 0]","[-73.9441579 40.6781784, 0]"
Los Angeles Lakers,Houston Rockets,-9,"[-118.2436849 34.0522342, 0]","[-95.3698028 29.7604267, 0]"
Miami Heat,Charlotte Hornets,-1,"[-80.1917902 25.7616798, 0]","[-80.8431267 35.2270869, 0]"
New York Knicks,Boston Celtics,-2,"[-74.0059728 40.7127753, 0]","[-71.0588801 42.3600825, 0]"
Philadelphia 76ers,Orlando Magic,1,"[-75.1652215 39.9525839, 0]","[-81.3792365 28.5383355, 0]"
Portland Trail Blazers,San Antonio Spurs,13,"[-122.6750261 45.5051064, 0]","[-98.4936282 29.4241219, 0]"
Washington Wizards,Toronto Raptors,-4,"[-77.0368707 38.9071923, 0]","[-79.3831843 43.653226, 0]"
Cleveland Cavaliers,Atlanta Hawks,-22,"[-81.6943605 41.49932, 0]","[-84.3879824 33.7489954, 0]"
Denver Nuggets,Golden State Warriors,2,"[-104.990251 39.7392358, 0]","[-122.4194155 37.7749295, 0]"
Los Angeles Clippers,Houston Rockets,3,"[-118.2436849 34.0522342, 0]","[-95.3698028 29.7604267, 0]"
Oklahoma City Thunder,Sacramento Kings,-11,"[-97.5164276 35.4675602, 0]","[-121.4943996 38.5815719, 0]"
Boston Celtics,Orlando Magic,-3,"[-71.0588801 42.3600825, 0]","[-81.3792365 28.5383355, 0]"
Dallas Mavericks,Chicago Bulls,6,"[-96.7969879 32.7766642, 0]","[-87.6297982 41.8781136, 0]"
Golden State Warriors,Phoenix Suns,20,"[-122.4194155 37.7749295, 0]","[-112.0740373 33.4483771, 0]"
Los Angeles Lakers,San Antonio Spurs,-1,"[-118.2436849 34.0522342, 0]","[-98.4936282 29.4241219, 0]"
Milwaukee Bucks,New York Knicks,11,"[-87.9064736 43.0389025, 0]","[-74.0059728 40.7127753, 0]"
Minnesota Timberwolves,Indiana Pacers,10,"[-94.6858998 46.729553, 0]","[-86.1349019 40.2671941, 0]"
Portland Trail Blazers,Washington Wizards,-1,"[-122.6750261 45.5051064, 0]","[-77.0368707 38.9071923, 0]"
Toronto Raptors,Charlotte Hornets,21,"[-79.3831843 43.653226, 0]","[-80.8431267 35.2270869, 0]"
Utah Jazz,Memphis Grizzlies,-8,"[-111.0937311 39.3209801, 0]","[-90.0489801 35.1495343, 0]"
Denver Nuggets,Sacramento Kings,14,"[-104.990251 39.7392358, 0]","[-121.4943996 38.5815719, 0]"
Detroit Pistons,Philadelphia 76ers,1,"[-83.0457538 42.331427, 0]","[-75.1652215 39.9525839, 0]"
New Orleans Pelicans,Los Angeles Clippers,7,"[-90.0715323 29.9510658, 0]","[-118.2436849 34.0522342, 0]"
Atlanta Hawks,Dallas Mavericks,7,"[-84.3879824 33.7489954, 0]","[-96.7969879 32.7766642, 0]"
Chicago Bulls,Charlotte Hornets,2,"[-87.6297982 41.8781136, 0]","[-80.8431267 35.2270869, 0]"
Cleveland Cavaliers,Brooklyn Nets,-16,"[-81.6943605 41.49932, 0]","[-73.9441579 40.6781784, 0]"
Golden State Warriors,Washington Wizards,22,"[-122.4194155 37.7749295, 0]","[-77.0368707 38.9071923, 0]"
Houston Rockets,Utah Jazz,-11,"[-95.3698028 29.7604267, 0]","[-111.0937311 39.3209801, 0]"
Miami Heat,New York Knicks,23,"[-80.1917902 25.7616798, 0]","[-74.0059728 40.7127753, 0]"
Milwaukee Bucks,Philadelphia 76ers,15,"[-87.9064736 43.0389025, 0]","[-75.1652215 39.9525839, 0]"
Phoenix Suns,Los Angeles Lakers,-18,"[-112.0740373 33.4483771, 0]","[-118.2436849 34.0522342, 0]"
Sacramento Kings,Memphis Grizzlies,5,"[-121.4943996 38.5815719, 0]","[-90.0489801 35.1495343, 0]"
San Antonio Spurs,Indiana Pacers,-20,"[-98.4936282 29.4241219, 0]","[-86.1349019 40.2671941, 0]"
Toronto Raptors,Minnesota Timberwolves,7,"[-79.3831843 43.653226, 0]","[-94.6858998 46.729553, 0]"
Detroit Pistons,Cleveland Cavaliers,7,"[-83.0457538 42.331427, 0]","[-81.6943605 41.49932, 0]"
Los Angeles Lakers,Denver Nuggets,7,"[-118.2436849 34.0522342, 0]","[-104.990251 39.7392358, 0]"
Oklahoma City Thunder,Boston Celtics,-6,"[-97.5164276 35.4675602, 0]","[-71.0588801 42.3600825, 0]"
Orlando Magic,Portland Trail Blazers,-14,"[-81.3792365 28.5383355, 0]","[-122.6750261 45.5051064, 0]"
Charlotte Hornets,Chicago Bulls,29,"[-80.8431267 35.2270869, 0]","[-87.6297982 41.8781136, 0]"
Houston Rockets,Los Angeles Clippers,-20,"[-95.3698028 29.7604267, 0]","[-118.2436849 34.0522342, 0]"
Minnesota Timberwolves,Milwaukee Bucks,-30,"[-94.6858998 46.729553, 0]","[-87.9064736 43.0389025, 0]"
New Orleans Pelicans,Brooklyn Nets,2,"[-90.0715323 29.9510658, 0]","[-73.9441579 40.6781784, 0]"
New York Knicks,Golden State Warriors,-28,"[-74.0059728 40.7127753, 0]","[-122.4194155 37.7749295, 0]"
Sacramento Kings,Washington Wizards,4,"[-121.4943996 38.5815719, 0]","[-77.0368707 38.9071923, 0]"
Toronto Raptors,Dallas Mavericks,9,"[-79.3831843 43.653226, 0]","[-96.7969879 32.7766642, 0]"
Atlanta Hawks,Chicago Bulls,-12,"[-84.3879824 33.7489954, 0]","[-87.6297982 41.8781136, 0]"
Cleveland Cavaliers,Indiana Pacers,-12,"[-81.6943605 41.49932, 0]","[-86.1349019 40.2671941, 0]"
Detroit Pistons,Boston Celtics,-20,"[-83.0457538 42.331427, 0]","[-71.0588801 42.3600825, 0]"
Memphis Grizzlies,Phoenix Suns,21,"[-90.0489801 35.1495343, 0]","[-112.0740373 33.4483771, 0]"
Miami Heat,Portland Trail Blazers,9,"[-80.1917902 25.7616798, 0]","[-122.6750261 45.5051064, 0]"
Milwaukee Bucks,Orlando Magic,22,"[-87.9064736 43.0389025, 0]","[-81.3792365 28.5383355, 0]"
New Orleans Pelicans,Utah Jazz,-21,"[-90.0715323 29.9510658, 0]","[-111.0937311 39.3209801, 0]"
Philadelphia 76ers,Charlotte Hornets,2,"[-75.1652215 39.9525839, 0]","[-80.8431267 35.2270869, 0]"
San Antonio Spurs,Los Angeles Lakers,4,"[-98.4936282 29.4241219, 0]","[-118.2436849 34.0522342, 0]"
Brooklyn Nets,Golden State Warriors,-6,"[-73.9441579 40.6781784, 0]","[-122.4194155 37.7749295, 0]"
Dallas Mavericks,Utah Jazz,-9,"[-96.7969879 32.7766642, 0]","[-111.0937311 39.3209801, 0]"
Los Angeles Clippers,Washington Wizards,32,"[-118.2436849 34.0522342, 0]","[-77.0368707 38.9071923, 0]"
Oklahoma City Thunder,Phoenix Suns,7,"[-97.5164276 35.4675602, 0]","[-112.0740373 33.4483771, 0]"
Chicago Bulls,Golden State Warriors,-25,"[-87.6297982 41.8781136, 0]","[-122.4194155 37.7749295, 0]"
Denver Nuggets,New Orleans Pelicans,5,"[-104.990251 39.7392358, 0]","[-90.0715323 29.9510658, 0]"
Indiana Pacers,Portland Trail Blazers,-10,"[-86.1349019 40.2671941, 0]","[-122.6750261 45.5051064, 0]"
Miami Heat,Sacramento Kings,-10,"[-80.1917902 25.7616798, 0]","[-121.4943996 38.5815719, 0]"
Milwaukee Bucks,Toronto Raptors,15,"[-87.9064736 43.0389025, 0]","[-79.3831843 43.653226, 0]"
Minnesota Timberwolves,Los Angeles Lakers,4,"[-94.6858998 46.729553, 0]","[-118.2436849 34.0522342, 0]"
New York Knicks,Brooklyn Nets,19,"[-74.0059728 40.7127753, 0]","[-73.9441579 40.6781784, 0]"
Philadelphia 76ers,Atlanta Hawks,21,"[-75.1652215 39.9525839, 0]","[-84.3879824 33.7489954, 0]"
San Antonio Spurs,Dallas Mavericks,5,"[-98.4936282 29.4241219, 0]","[-96.7969879 32.7766642, 0]"
Boston Celtics,Detroit Pistons,3,"[-71.0588801 42.3600825, 0]","[-83.0457538 42.331427, 0]"
Charlotte Hornets,Miami Heat,12,"[-80.8431267 35.2270869, 0]","[-80.1917902 25.7616798, 0]"
Cleveland Cavaliers,Atlanta Hawks,22,"[-81.6943605 41.49932, 0]","[-84.3879824 33.7489954, 0]"
Houston Rockets,Portland Trail Blazers,-19,"[-95.3698028 29.7604267, 0]","[-122.6750261 45.5051064, 0]"
Memphis Grizzlies,Washington Wizards,12,"[-90.0489801 35.1495343, 0]","[-77.0368707 38.9071923, 0]"
Oklahoma City Thunder,Los Angeles Clippers,18,"[-97.5164276 35.4675602, 0]","[-118.2436849 34.0522342, 0]"
Orlando Magic,Sacramento Kings,-8,"[-81.3792365 28.5383355, 0]","[-121.4943996 38.5815719, 0]"
Toronto Raptors,Philadelphia 76ers,17,"[-79.3831843 43.653226, 0]","[-75.1652215 39.9525839, 0]"
Brooklyn Nets,Detroit Pistons,1,"[-73.9441579 40.6781784, 0]","[-83.0457538 42.331427, 0]"
Chicago Bulls,Denver Nuggets,-1,"[-87.6297982 41.8781136, 0]","[-104.990251 39.7392358, 0]"
Golden State Warriors,New Orleans Pelicans,10,"[-122.4194155 37.7749295, 0]","[-90.0715323 29.9510658, 0]"
Los Angeles Lakers,Dallas Mavericks,1,"[-118.2436849 34.0522342, 0]","[-96.7969879 32.7766642, 0]"
Minnesota Timberwolves,Utah Jazz,3,"[-94.6858998 46.729553, 0]","[-111.0937311 39.3209801, 0]"
New York Knicks,Indiana Pacers,-6,"[-74.0059728 40.7127753, 0]","[-86.1349019 40.2671941, 0]"
Phoenix Suns,San Antonio Spurs,-30,"[-112.0740373 33.4483771, 0]","[-98.4936282 29.4241219, 0]"
Atlanta Hawks,Sacramento Kings,-31,"[-84.3879824 33.7489954, 0]","[-121.4943996 38.5815719, 0]"
Boston Celtics,Milwaukee Bucks,4,"[-71.0588801 42.3600825, 0]","[-87.9064736 43.0389025, 0]"
Charlotte Hornets,Oklahoma City Thunder,-4,"[-80.8431267 35.2270869, 0]","[-97.5164276 35.4675602, 0]"
Cleveland Cavaliers,Denver Nuggets,-19,"[-81.6943605 41.49932, 0]","[-104.990251 39.7392358, 0]"
Philadelphia 76ers,Los Angeles Clippers,9,"[-75.1652215 39.9525839, 0]","[-118.2436849 34.0522342, 0]"
Portland Trail Blazers,New Orleans Pelicans,13,"[-122.6750261 45.5051064, 0]","[-90.0715323 29.9510658, 0]"
Brooklyn Nets,Houston Rockets,-8,"[-73.9441579 40.6781784, 0]","[-95.3698028 29.7604267, 0]"
Chicago Bulls,Indiana Pacers,-2,"[-87.6297982 41.8781136, 0]","[-86.1349019 40.2671941, 0]"
Dallas Mavericks,New York Knicks,-12,"[-96.7969879 32.7766642, 0]","[-74.0059728 40.7127753, 0]"
Golden State Warriors,Minnesota Timberwolves,17,"[-122.4194155 37.7749295, 0]","[-94.6858998 46.729553, 0]"
Orlando Magic,Los Angeles Clippers,-25,"[-81.3792365 28.5383355, 0]","[-118.2436849 34.0522342, 0]"
Phoenix Suns,Toronto Raptors,-9,"[-112.0740373 33.4483771, 0]","[-79.3831843 43.653226, 0]"
Utah Jazz,Memphis Grizzlies,-10,"[-111.0937311 39.3209801, 0]","[-90.0489801 35.1495343, 0]"
Washington Wizards,Oklahoma City Thunder,-23,"[-77.0368707 38.9071923, 0]","[-97.5164276 35.4675602, 0]"
Atlanta Hawks,Miami Heat,5,"[-84.3879824 33.7489954, 0]","[-80.1917902 25.7616798, 0]"
Chicago Bulls,Houston Rockets,-8,"[-87.6297982 41.8781136, 0]","[-95.3698028 29.7604267, 0]"
Charlotte Hornets,Cleveland Cavaliers,32,"[-80.8431267 35.2270869, 0]","[-81.6943605 41.49932, 0]"
Denver Nuggets,Utah Jazz,15,"[-104.990251 39.7392358, 0]","[-111.0937311 39.3209801, 0]"
Indiana Pacers,Boston Celtics,1,"[-86.1349019 40.2671941, 0]","[-71.0588801 42.3600825, 0]"
Philadelphia 76ers,Detroit Pistons,10,"[-75.1652215 39.9525839, 0]","[-83.0457538 42.331427, 0]"
Portland Trail Blazers,Los Angeles Lakers,-4,"[-122.6750261 45.5051064, 0]","[-118.2436849 34.0522342, 0]"
San Antonio Spurs,New Orleans Pelicans,14,"[-98.4936282 29.4241219, 0]","[-90.0715323 29.9510658, 0]"
Brooklyn Nets,Philadelphia 76ers,25,"[-73.9441579 40.6781784, 0]","[-75.1652215 39.9525839, 0]"
Los Angeles Lakers,Toronto Raptors,-14,"[-118.2436849 34.0522342, 0]","[-79.3831843 43.653226, 0]"
Milwaukee Bucks,Sacramento Kings,35,"[-87.9064736 43.0389025, 0]","[-121.4943996 38.5815719, 0]"
Phoenix Suns,Memphis Grizzlies,2,"[-112.0740373 33.4483771, 0]","[-90.0489801 35.1495343, 0]"
Portland Trail Blazers,Minnesota Timberwolves,30,"[-122.6750261 45.5051064, 0]","[-94.6858998 46.729553, 0]"
San Antonio Spurs,Orlando Magic,-7,"[-98.4936282 29.4241219, 0]","[-81.3792365 28.5383355, 0]"
Washington Wizards,New York Knicks,13,"[-77.0368707 38.9071923, 0]","[-74.0059728 40.7127753, 0]"
Denver Nuggets,Boston Celtics,8,"[-104.990251 39.7392358, 0]","[-71.0588801 42.3600825, 0]"
Detroit Pistons,Miami Heat,-5,"[-83.0457538 42.331427, 0]","[-80.1917902 25.7616798, 0]"
Golden State Warriors,Memphis Grizzlies,16,"[-122.4194155 37.7749295, 0]","[-90.0489801 35.1495343, 0]"
Indiana Pacers,Houston Rockets,-4,"[-86.1349019 40.2671941, 0]","[-95.3698028 29.7604267, 0]"
Los Angeles Clippers,Minnesota Timberwolves,11,"[-118.2436849 34.0522342, 0]","[-94.6858998 46.729553, 0]"
New York Knicks,Chicago Bulls,-1,"[-74.0059728 40.7127753, 0]","[-87.6297982 41.8781136, 0]"
Oklahoma City Thunder,New Orleans Pelicans,6,"[-97.5164276 35.4675602, 0]","[-90.0715323 29.9510658, 0]"
Orlando Magic,Cleveland Cavaliers,2,"[-81.3792365 28.5383355, 0]","[-81.6943605 41.49932, 0]"
Utah Jazz,Toronto Raptors,-13,"[-111.0937311 39.3209801, 0]","[-79.3831843 43.653226, 0]"
Charlotte Hornets,Atlanta Hawks,11,"[-80.8431267 35.2270869, 0]","[-84.3879824 33.7489954, 0]"
Dallas Mavericks,Washington Wizards,19,"[-96.7969879 32.7766642, 0]","[-77.0368707 38.9071923, 0]"
Phoenix Suns,Brooklyn Nets,-22,"[-112.0740373 33.4483771, 0]","[-73.9441579 40.6781784, 0]"
Portland Trail Blazers,Milwaukee Bucks,15,"[-122.6750261 45.5051064, 0]","[-87.9064736 43.0389025, 0]"
Atlanta Hawks,New York Knicks,-5,"[-84.3879824 33.7489954, 0]","[-74.0059728 40.7127753, 0]"
Cleveland Cavaliers,Oklahoma City Thunder,-9,"[-81.6943605 41.49932, 0]","[-97.5164276 35.4675602, 0]"
Indiana Pacers,Philadelphia 76ers,-6,"[-86.1349019 40.2671941, 0]","[-75.1652215 39.9525839, 0]"
Los Angeles Lakers,Minnesota Timberwolves,4,"[-118.2436849 34.0522342, 0]","[-94.6858998 46.729553, 0]"
Memphis Grizzlies,Denver Nuggets,2,"[-90.0489801 35.1495343, 0]","[-104.990251 39.7392358, 0]"
Miami Heat,San Antonio Spurs,7,"[-80.1917902 25.7616798, 0]","[-98.4936282 29.4241219, 0]"
New Orleans Pelicans,Chicago Bulls,9,"[-90.0715323 29.9510658, 0]","[-87.6297982 41.8781136, 0]"
Orlando Magic,Detroit Pistons,-7,"[-81.3792365 28.5383355, 0]","[-83.0457538 42.331427, 0]"
Sacramento Kings,Toronto Raptors,-9,"[-121.4943996 38.5815719, 0]","[-79.3831843 43.653226, 0]"
Utah Jazz,Dallas Mavericks,15,"[-111.0937311 39.3209801, 0]","[-96.7969879 32.7766642, 0]"
Golden State Warriors,Milwaukee Bucks,-23,"[-122.4194155 37.7749295, 0]","[-87.9064736 43.0389025, 0]"
Oklahoma City Thunder,Houston Rockets,18,"[-97.5164276 35.4675602, 0]","[-95.3698028 29.7604267, 0]"
Phoenix Suns,Boston Celtics,-7,"[-112.0740373 33.4483771, 0]","[-71.0588801 42.3600825, 0]"
Portland Trail Blazers,Los Angeles Clippers,11,"[-122.6750261 45.5051064, 0]","[-118.2436849 34.0522342, 0]"
Atlanta Hawks,Detroit Pistons,-15,"[-84.3879824 33.7489954, 0]","[-83.0457538 42.331427, 0]"
Denver Nuggets,Brooklyn Nets,-2,"[-104.990251 39.7392358, 0]","[-73.9441579 40.6781784, 0]"
Miami Heat,Indiana Pacers,-8,"[-80.1917902 25.7616798, 0]","[-86.1349019 40.2671941, 0]"
Orlando Magic,Washington Wizards,9,"[-81.3792365 28.5383355, 0]","[-77.0368707 38.9071923, 0]"
Philadelphia 76ers,Charlotte Hornets,1,"[-75.1652215 39.9525839, 0]","[-80.8431267 35.2270869, 0]"
Sacramento Kings,Minnesota Timberwolves,11,"[-121.4943996 38.5815719, 0]","[-94.6858998 46.729553, 0]"
Utah Jazz,Boston Celtics,8,"[-111.0937311 39.3209801, 0]","[-71.0588801 42.3600825, 0]"
Chicago Bulls,Cleveland Cavaliers,1,"[-87.6297982 41.8781136, 0]","[-81.6943605 41.49932, 0]"
Dallas Mavericks,Oklahoma City Thunder,15,"[-96.7969879 32.7766642, 0]","[-97.5164276 35.4675602, 0]"
Golden State Warriors,Brooklyn Nets,16,"[-122.4194155 37.7749295, 0]","[-73.9441579 40.6781784, 0]"
Los Angeles Clippers,Milwaukee Bucks,2,"[-118.2436849 34.0522342, 0]","[-87.9064736 43.0389025, 0]"
Memphis Grizzlies,Philadelphia 76ers,6,"[-90.0489801 35.1495343, 0]","[-75.1652215 39.9525839, 0]"
Miami Heat,Washington Wizards,-6,"[-80.1917902 25.7616798, 0]","[-77.0368707 38.9071923, 0]"
New Orleans Pelicans,Phoenix Suns,20,"[-90.0715323 29.9510658, 0]","[-112.0740373 33.4483771, 0]"
Sacramento Kings,Los Angeles Lakers,-15,"[-121.4943996 38.5815719, 0]","[-118.2436849 34.0522342, 0]"
San Antonio Spurs,Houston Rockets,7,"[-98.4936282 29.4241219, 0]","[-95.3698028 29.7604267, 0]"
Toronto Raptors,New York Knicks,16,"[-79.3831843 43.653226, 0]","[-74.0059728 40.7127753, 0]"
Denver Nuggets,Milwaukee Bucks,-7,"[-104.990251 39.7392358, 0]","[-87.9064736 43.0389025, 0]"
Detroit Pistons,Charlotte Hornets,-10,"[-83.0457538 42.331427, 0]","[-80.8431267 35.2270869, 0]"
Houston Rockets,Indiana Pacers,12,"[-95.3698028 29.7604267, 0]","[-86.1349019 40.2671941, 0]"
Los Angeles Lakers,Atlanta Hawks,1,"[-118.2436849 34.0522342, 0]","[-84.3879824 33.7489954, 0]"
New York Knicks,Orlando Magic,-26,"[-74.0059728 40.7127753, 0]","[-81.3792365 28.5383355, 0]"
Portland Trail Blazers,Boston Celtics,6,"[-122.6750261 45.5051064, 0]","[-71.0588801 42.3600825, 0]"
Chicago Bulls,Dallas Mavericks,-5,"[-87.6297982 41.8781136, 0]","[-96.7969879 32.7766642, 0]"
Los Angeles Clippers,Golden State Warriors,5,"[-118.2436849 34.0522342, 0]","[-122.4194155 37.7749295, 0]"
Memphis Grizzlies,Utah Jazz,-8,"[-90.0489801 35.1495343, 0]","[-111.0937311 39.3209801, 0]"
Miami Heat,Philadelphia 76ers,-10,"[-80.1917902 25.7616798, 0]","[-75.1652215 39.9525839, 0]"
Minnesota Timberwolves,Brooklyn Nets,7,"[-94.6858998 46.729553, 0]","[-73.9441579 40.6781784, 0]"
Oklahoma City Thunder,Phoenix Suns,17,"[-97.5164276 35.4675602, 0]","[-112.0740373 33.4483771, 0]"
Sacramento Kings,San Antonio Spurs,5,"[-121.4943996 38.5815719, 0]","[-98.4936282 29.4241219, 0]"
Toronto Raptors,New Orleans Pelicans,-16,"[-79.3831843 43.653226, 0]","[-90.0715323 29.9510658, 0]"
Washington Wizards,Orlando Magic,8,"[-77.0368707 38.9071923, 0]","[-81.3792365 28.5383355, 0]"
Cleveland Cavaliers,Charlotte Hornets,24,"[-81.6943605 41.49932, 0]","[-80.8431267 35.2270869, 0]"
Denver Nuggets,Houston Rockets,-10,"[-104.990251 39.7392358, 0]","[-95.3698028 29.7604267, 0]"
Golden State Warriors,Atlanta Hawks,7,"[-122.4194155 37.7749295, 0]","[-84.3879824 33.7489954, 0]"
Boston Celtics,Chicago Bulls,29,"[-71.0588801 42.3600825, 0]","[-87.6297982 41.8781136, 0]"
Brooklyn Nets,Miami Heat,-13,"[-73.9441579 40.6781784, 0]","[-80.1917902 25.7616798, 0]"
Dallas Mavericks,Utah Jazz,50,"[-96.7969879 32.7766642, 0]","[-111.0937311 39.3209801, 0]"
Los Angeles Lakers,Portland Trail Blazers,9,"[-118.2436849 34.0522342, 0]","[-122.6750261 45.5051064, 0]"
Milwaukee Bucks,Memphis Grizzlies,-3,"[-87.9064736 43.0389025, 0]","[-90.0489801 35.1495343, 0]"
Minnesota Timberwolves,New Orleans Pelicans,7,"[-94.6858998 46.729553, 0]","[-90.0715323 29.9510658, 0]"
Oklahoma City Thunder,New York Knicks,25,"[-97.5164276 35.4675602, 0]","[-74.0059728 40.7127753, 0]"
Orlando Magic,Philadelphia 76ers,5,"[-81.3792365 28.5383355, 0]","[-75.1652215 39.9525839, 0]"
Phoenix Suns,San Antonio Spurs,20,"[-112.0740373 33.4483771, 0]","[-98.4936282 29.4241219, 0]"
Toronto Raptors,Detroit Pistons,-2,"[-79.3831843 43.653226, 0]","[-83.0457538 42.331427, 0]"
Washington Wizards,Cleveland Cavaliers,24,"[-77.0368707 38.9071923, 0]","[-81.6943605 41.49932, 0]"
Denver Nuggets,Atlanta Hawks,45,"[-104.990251 39.7392358, 0]","[-84.3879824 33.7489954, 0]"
Houston Rockets,Golden State Warriors,21,"[-95.3698028 29.7604267, 0]","[-122.4194155 37.7749295, 0]"
Los Angeles Clippers,San Antonio Spurs,5,"[-118.2436849 34.0522342, 0]","[-98.4936282 29.4241219, 0]"
Boston Celtics,Toronto Raptors,7,"[-71.0588801 42.3600825, 0]","[-79.3831843 43.653226, 0]"
Indiana Pacers,Miami Heat,8,"[-86.1349019 40.2671941, 0]","[-80.1917902 25.7616798, 0]"
Memphis Grizzlies,Sacramento Kings,8,"[-90.0489801 35.1495343, 0]","[-121.4943996 38.5815719, 0]"
Milwaukee Bucks,Chicago Bulls,19,"[-87.9064736 43.0389025, 0]","[-87.6297982 41.8781136, 0]"
Minnesota Timberwolves,Portland Trail Blazers,16,"[-94.6858998 46.729553, 0]","[-122.6750261 45.5051064, 0]"
New Orleans Pelicans,New York Knicks,5,"[-90.0715323 29.9510658, 0]","[-74.0059728 40.7127753, 0]"
Philadelphia 76ers,Utah Jazz,6,"[-75.1652215 39.9525839, 0]","[-111.0937311 39.3209801, 0]"
Washington Wizards,Brooklyn Nets,-11,"[-77.0368707 38.9071923, 0]","[-73.9441579 40.6781784, 0]"
Boston Celtics,Utah Jazz,-12,"[-71.0588801 42.3600825, 0]","[-111.0937311 39.3209801, 0]"
Brooklyn Nets,Los Angeles Clippers,-8,"[-73.9441579 40.6781784, 0]","[-118.2436849 34.0522342, 0]"
Chicago Bulls,Toronto Raptors,-39,"[-87.6297982 41.8781136, 0]","[-79.3831843 43.653226, 0]"
Charlotte Hornets,Philadelphia 76ers,-3,"[-80.8431267 35.2270869, 0]","[-75.1652215 39.9525839, 0]"
Dallas Mavericks,Golden State Warriors,3,"[-96.7969879 32.7766642, 0]","[-122.4194155 37.7749295, 0]"
Houston Rockets,Sacramento Kings,20,"[-95.3698028 29.7604267, 0]","[-121.4943996 38.5815719, 0]"
Indiana Pacers,Atlanta Hawks,8,"[-86.1349019 40.2671941, 0]","[-84.3879824 33.7489954, 0]"
New Orleans Pelicans,Denver Nuggets,10,"[-90.0715323 29.9510658, 0]","[-104.990251 39.7392358, 0]"
Orlando Magic,Los Angeles Lakers,13,"[-81.3792365 28.5383355, 0]","[-118.2436849 34.0522342, 0]"
Phoenix Suns,Oklahoma City Thunder,-10,"[-112.0740373 33.4483771, 0]","[-97.5164276 35.4675602, 0]"
Miami Heat,Los Angeles Lakers,-16,"[-80.1917902 25.7616798, 0]","[-118.2436849 34.0522342, 0]"
Minnesota Timberwolves,Memphis Grizzlies,-13,"[-94.6858998 46.729553, 0]","[-90.0489801 35.1495343, 0]"
